candidate_id,rank,score,reasoning
CAND_0077337,1,0.829433,"Staff Machine Learning Engineer with 7.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.62; skills 10.0/10; experience 9.6/10; career path Staff Machine Learning Engineer -> Paytm."
CAND_0042100,12,0.744118,"Machine Learning Engineer with 7.3 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.52; skills 9.6/10; experience 8.8/10; career path Machine Learning Engineer -> Freshworks."
CAND_0061257,13,0.739751,"Staff Machine Learning Engineer with 8.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.59; skills 7.9/10; experience 8.3/10; career path Staff Machine Learning Engineer -> LinkedIn."
CAND_0001930,14,0.739537,"Senior Software Engineer (ML) with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.49; skills 9.0/10; experience 9.3/10; career path Senior Software Engineer (ML) -> Dream11."
CAND_0002025,15,0.738140,"Senior AI Engineer with 5.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.53; skills 9.6/10; experience 8.0/10; career path Senior AI Engineer -> Apple."
CAND_0010149,16,0.733848,"ML Engineer with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.49; skills 9.1/10; experience 9.1/10; career path ML Engineer -> Glance."
CAND_0067041,17,0.732280,"Data Scientist with 6.9 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 9.2/10; experience 9.3/10; career path Data Scientist -> Saarthi.ai."
CAND_0017960,18,0.732120,"Recommendation Systems Engineer with 7.7 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.52; skills 9.9/10; experience 8.2/10; career path Recommendation Systems Engineer -> Nykaa."
CAND_0078002,19,0.731789,"Machine Learning Engineer with 6.3 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.52; skills 9.1/10; experience 8.2/10; career path Machine Learning Engineer -> Meta."
CAND_0061265,20,0.731379,"Recommendation Systems Engineer with 6.6 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.54; skills 8.9/10; experience 8.6/10; career path Recommendation Systems Engineer -> Zoho."
CAND_0076163,21,0.731319,"NLP Engineer with 6.9 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.47; skills 8.7/10; experience 9.1/10; career path NLP Engineer -> Ola."
CAND_0043304,22,0.730571,"Junior ML Engineer with 6.5 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.52; skills 9.1/10; experience 8.5/10; career path Junior ML Engineer -> TCS."
CAND_0007009,23,0.729447,"Recommendation Systems Engineer with 7.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 9.5/10; experience 8.0/10; career path Recommendation Systems Engineer -> Wysa."
CAND_0018722,24,0.728673,"Recommendation Systems Engineer with 6.6 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.52; skills 8.8/10; experience 8.6/10; career path Recommendation Systems Engineer -> Saarthi.ai."
CAND_0027691,25,0.728393,"NLP Engineer with 6.5 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.52; skills 8.8/10; experience 8.5/10; career path NLP Engineer -> Haptik."
CAND_0014440,26,0.727894,"Recommendation Systems Engineer with 6.4 years and fit around embeddings, fine-tuning, llm, rag for a 5-9 year AI engineering role.; semantic 0.51; skills 8.8/10; experience 8.4/10; career path Recommendation Systems Engineer -> CRED."
CAND_0072688,27,0.727270,"Data Scientist with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.45; skills 9.1/10; experience 9.3/10; career path Data Scientist -> Niramai."
CAND_0076482,28,0.726832,"ML Engineer with 6.6 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.47; skills 9.0/10; experience 8.6/10; career path ML Engineer -> Flipkart."
CAND_0098846,29,0.725285,"AI Engineer with 7.6 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 9.6/10; experience 8.4/10; career path AI Engineer -> upGrad."
CAND_0049978,30,0.723629,"Senior Software Engineer (ML) with 6.6 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.47; skills 9.2/10; experience 8.8/10; career path Senior Software Engineer (ML) -> Sarvam AI."
CAND_0067866,31,0.722382,"Senior Software Engineer (ML) with 6.4 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.49; skills 9.2/10; experience 8.6/10; career path Senior Software Engineer (ML) -> Tech Mahindra."
CAND_0054859,32,0.722361,"Senior Software Engineer (ML) with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 8.2/10; experience 9.3/10; career path Senior Software Engineer (ML) -> Ola."
CAND_0081852,33,0.720795,"Senior Data Scientist with 5.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 9.2/10; experience 8.0/10; career path Senior Data Scientist -> Mad Street Den."
CAND_0011125,34,0.720397,"Junior ML Engineer with 6.6 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 9.3/10; experience 8.6/10; career path Junior ML Engineer -> Wysa."
CAND_0043676,35,0.719878,"Senior Software Engineer (ML) with 6.1 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.49; skills 9.2/10; experience 8.2/10; career path Senior Software Engineer (ML) -> Observe.AI."
CAND_0030946,36,0.719811,"Junior ML Engineer with 6.7 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.49; skills 9.1/10; experience 8.8/10; career path Junior ML Engineer -> Yellow.ai."
CAND_0018925,37,0.718485,"AI Research Engineer with 5.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.53; skills 9.2/10; experience 7.6/10; career path AI Research Engineer -> Rephrase.ai."
CAND_0060835,38,0.717737,"Senior Software Engineer (ML) with 6.6 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.49; skills 8.6/10; experience 8.8/10; career path Senior Software Engineer (ML) -> Sarvam AI."
CAND_0015493,39,0.714627,"Data Scientist with 6.4 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.47; skills 9.1/10; experience 8.6/10; career path Data Scientist -> CRED."
CAND_0073504,40,0.714138,"Junior ML Engineer with 6.6 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.49; skills 8.3/10; experience 8.6/10; career path Junior ML Engineer -> PolicyBazaar."
CAND_0067535,41,0.713816,"Junior ML Engineer with 6.8 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 8.4/10; experience 8.9/10; career path Junior ML Engineer -> Locobuzz."
CAND_0074735,42,0.713026,"Applied ML Engineer with 5.5 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.49; skills 9.2/10; experience 7.3/10; career path Applied ML Engineer -> Rephrase.ai."
CAND_0010257,43,0.712000,"Senior Data Scientist with 6.5 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 8.7/10; experience 8.7/10; career path Senior Data Scientist -> Google."
CAND_0008295,44,0.711395,"AI Research Engineer with 6.5 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.50; skills 8.7/10; experience 8.5/10; career path AI Research Engineer -> Razorpay."
CAND_0009691,45,0.710793,"Applied ML Engineer with 6.2 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 9.2/10; experience 8.1/10; career path Applied ML Engineer -> LinkedIn."
CAND_0053527,46,0.709467,"Junior ML Engineer with 7.0 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.50; skills 8.1/10; experience 9.2/10; career path Junior ML Engineer -> PhonePe."
CAND_0049540,47,0.707777,"ML Engineer with 6.8 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.46; skills 8.8/10; experience 8.9/10; career path ML Engineer -> Saarthi.ai."
CAND_0059017,48,0.705293,"AI Research Engineer with 6.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.45; skills 9.2/10; experience 8.9/10; career path AI Research Engineer -> PhonePe."
CAND_0098454,49,0.705202,"AI Specialist with 6.6 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.47; skills 8.9/10; experience 8.2/10; career path AI Specialist -> Meesho."
CAND_0072263,50,0.704171,"Senior Software Engineer (ML) with 6.7 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.49; skills 7.7/10; experience 9.0/10; career path Senior Software Engineer (ML) -> Infosys."
CAND_0033179,51,0.703981,"AI Research Engineer with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 9.1/10; experience 9.1/10; career path AI Research Engineer -> Wipro."
CAND_0052195,52,0.703910,"Computer Vision Engineer with 6.3 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 9.3/10; experience 8.2/10; career path Computer Vision Engineer -> Sarvam AI."
CAND_0053422,53,0.702774,"Data Scientist with 6.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.5/10; experience 9.1/10; career path Data Scientist -> Aganitha."
CAND_0096104,54,0.702531,"AI Specialist with 7.0 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.51; skills 8.3/10; experience 8.8/10; career path AI Specialist -> Yellow.ai."
CAND_0005509,55,0.702433,"Data Scientist with 6.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.47; skills 9.1/10; experience 8.1/10; career path Data Scientist -> Ola."
CAND_0022870,56,0.702255,"AI Specialist with 6.7 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 8.9/10; experience 8.4/10; career path AI Specialist -> HCL."
CAND_0039383,57,0.702018,"Applied ML Engineer with 7.1 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 8.3/10; experience 9.1/10; career path Applied ML Engineer -> Meesho."
CAND_0036121,58,0.700803,"ML Engineer with 5.2 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.50; skills 9.0/10; experience 7.0/10; career path ML Engineer -> Wysa."
CAND_0002706,59,0.700546,"Junior ML Engineer with 6.9 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.46; skills 8.0/10; experience 9.1/10; career path Junior ML Engineer -> Zoho."
CAND_0027801,60,0.700269,"NLP Engineer with 7.4 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 8.0/10; experience 8.6/10; career path NLP Engineer -> InMobi."
CAND_0066999,61,0.698904,"Recommendation Systems Engineer with 5.9 years and fit around embeddings, fine-tuning, llm, rag for a 5-9 year AI engineering role.; semantic 0.48; skills 8.8/10; experience 7.8/10; career path Recommendation Systems Engineer -> Microsoft."
CAND_0024147,62,0.697832,"ML Engineer with 5.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 9.1/10; experience 7.8/10; career path ML Engineer -> Ola."
CAND_0016163,63,0.697512,"Applied ML Engineer with 6.7 years and fit around embeddings, fine-tuning, llm, rag for a 5-9 year AI engineering role.; semantic 0.45; skills 8.4/10; experience 8.8/10; career path Applied ML Engineer -> Dream11."
CAND_0054100,64,0.697292,"Junior ML Engineer with 6.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.46; skills 8.8/10; experience 7.9/10; career path Junior ML Engineer -> Zoho."
CAND_0064256,65,0.696378,"Junior ML Engineer with 6.4 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.45; skills 8.8/10; experience 8.4/10; career path Junior ML Engineer -> BYJU'S."
CAND_0093912,66,0.695254,"Senior Data Scientist with 5.3 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 8.7/10; experience 7.3/10; career path Senior Data Scientist -> Razorpay."
CAND_0000165,67,0.694635,"AI Specialist with 6.8 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 8.8/10; experience 8.5/10; career path AI Specialist -> Mad Street Den."
CAND_0086154,68,0.692270,"Data Scientist with 6.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.42; skills 7.6/10; experience 9.1/10; career path Data Scientist -> Ola."
CAND_0083852,69,0.691120,"Data Scientist with 6.0 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.45; skills 9.0/10; experience 8.1/10; career path Data Scientist -> Mad Street Den."
CAND_0077956,70,0.690539,"Computer Vision Engineer with 6.4 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.47; skills 8.1/10; experience 8.4/10; career path Computer Vision Engineer -> Niramai."
CAND_0094165,71,0.688598,"AI Research Engineer with 5.8 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 8.1/10; experience 7.6/10; career path AI Research Engineer -> PhonePe."
CAND_0061244,72,0.688540,"Computer Vision Engineer with 6.2 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.45; skills 8.6/10; experience 8.1/10; career path Computer Vision Engineer -> CRED."
CAND_0028318,73,0.686772,"Data Scientist with 6.4 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.4/10; experience 8.6/10; career path Data Scientist -> Krutrim."
CAND_0022463,74,0.683583,"Junior ML Engineer with 6.5 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 8.6/10; experience 8.5/10; career path Junior ML Engineer -> Zomato."
CAND_0089381,75,0.683398,"Computer Vision Engineer with 6.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.47; skills 8.4/10; experience 7.9/10; career path Computer Vision Engineer -> Ola."
CAND_0080794,76,0.682447,"AI Research Engineer with 6.2 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.4/10; experience 8.1/10; career path AI Research Engineer -> Wipro."
CAND_0091229,77,0.682359,"Senior Software Engineer (ML) with 7.0 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.51; skills 7.9/10; experience 9.4/10; career path Senior Software Engineer (ML) -> Niramai."
CAND_0026942,78,0.681866,"Junior ML Engineer with 6.0 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.45; skills 8.1/10; experience 7.9/10; career path Junior ML Engineer -> Verloop.io."
CAND_0093401,79,0.681397,"AI Specialist with 6.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 8.8/10; experience 7.5/10; career path AI Specialist -> Haptik."
CAND_0092706,80,0.680434,"AI Research Engineer with 5.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.47; skills 9.2/10; experience 7.6/10; career path AI Research Engineer -> Unacademy."
CAND_0077296,81,0.679927,"Computer Vision Engineer with 5.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.2/10; experience 7.6/10; career path Computer Vision Engineer -> Ola."
CAND_0041402,82,0.679001,"AI Specialist with 6.3 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.45; skills 9.2/10; experience 7.8/10; career path AI Specialist -> Ola."
CAND_0003791,83,0.678061,"ML Engineer with 6.6 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.44; skills 7.7/10; experience 8.6/10; career path ML Engineer -> Meesho."
CAND_0070808,84,0.677242,"Junior ML Engineer with 6.8 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.3/10; experience 8.9/10; career path Junior ML Engineer -> HCL."
CAND_0046353,85,0.676679,"ML Engineer with 6.4 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 7.7/10; experience 8.4/10; career path ML Engineer -> Razorpay."
CAND_0043384,86,0.674242,"Computer Vision Engineer with 5.2 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 8.2/10; experience 7.0/10; career path Computer Vision Engineer -> Razorpay."
CAND_0094482,87,0.674116,"Junior ML Engineer with 6.4 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.0/10; experience 8.4/10; career path Junior ML Engineer -> TCS."
CAND_0024990,88,0.665222,"Junior ML Engineer with 5.2 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.46; skills 8.5/10; experience 7.0/10; career path Junior ML Engineer -> Zoho."
CAND_0080291,89,0.665035,"Junior ML Engineer with 6.5 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.43; skills 8.7/10; experience 8.5/10; career path Junior ML Engineer -> Ola."
CAND_0062561,90,0.663520,"ML Engineer with 5.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 7.9/10; experience 7.8/10; career path ML Engineer -> Razorpay."
CAND_0068932,91,0.661647,"ML Engineer with 5.2 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.49; skills 8.7/10; experience 7.0/10; career path ML Engineer -> Krutrim."
CAND_0012888,92,0.661431,"Junior ML Engineer with 6.4 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.46; skills 8.7/10; experience 8.4/10; career path Junior ML Engineer -> Genpact AI."
CAND_0010603,93,0.661051,"ML Engineer with 5.3 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.45; skills 8.3/10; experience 7.1/10; career path ML Engineer -> BYJU'S."
CAND_0097079,94,0.655487,"Computer Vision Engineer with 5.7 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.42; skills 8.0/10; experience 7.5/10; career path Computer Vision Engineer -> Freshworks."
CAND_0098288,95,0.654385,"Junior ML Engineer with 6.7 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.43; skills 7.7/10; experience 8.8/10; career path Junior ML Engineer -> Vedantu."
CAND_0032887,96,0.648528,"ML Engineer with 6.1 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.49; skills 7.5/10; experience 8.0/10; career path ML Engineer -> Niramai."
CAND_0054546,97,0.646443,"AI Research Engineer with 4.9 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.43; skills 8.1/10; experience 6.7/10; career path AI Research Engineer -> Razorpay."
CAND_0029439,98,0.639391,"AI Specialist with 6.4 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.48; skills 8.1/10; experience 8.0/10; career path AI Specialist -> Mad Street Den."
CAND_0081563,99,0.638678,"ML Engineer with 6.9 years and fit around embeddings, fine-tuning, llm, python for a 5-9 year AI engineering role.; semantic 0.41; skills 7.2/10; experience 9.1/10; career path ML Engineer -> Dream11."
CAND_0010408,100,0.628522,"Junior ML Engineer with 5.7 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.46; skills 7.7/10; experience 7.5/10; career path Junior ML Engineer -> Meesho."
